image,mode,mask_frac,n_cc,mask_path,overlay_path
/workspaces/skin-app/data/seg_qc_30/0017_levle0_22.jpg,facemask_constrained,0.012288093566894531,35,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0017_levle0_22_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0017_levle0_22_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0018_levle0_474.jpg,facemask_constrained,0.010650634765625,47,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0018_levle0_474_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0018_levle0_474_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0019_levle1_482.jpg,facemask_constrained,0.028395652770996094,29,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0019_levle1_482_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0019_levle1_482_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0020_levle1_534.jpg,facemask_constrained,0.06566333770751953,128,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0020_levle1_534_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0020_levle1_534_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0021_levle1_274.jpg,facemask_constrained,0.02774810791015625,74,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0021_levle1_274_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0021_levle1_274_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0022_levle1_637.jpg,no_face_mask,0.0,0,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0022_levle1_637_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0022_levle1_637_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0023_levle0_206.jpg,no_face_mask,0.0,0,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0023_levle0_206_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0023_levle0_206_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0024_levle1_484.jpg,facemask_constrained,0.018497467041015625,33,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0024_levle1_484_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0024_levle1_484_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0025_levle1_407.jpg,facemask_constrained,0.010451316833496094,22,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0025_levle1_407_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0025_levle1_407_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0026_levle2_46.jpg,facemask_constrained,0.0011920928955078125,6,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0026_levle2_46_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0026_levle2_46_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0027_levle2_77.jpg,facemask_constrained,0.022461891174316406,74,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0027_levle2_77_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0027_levle2_77_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0028_levle1_37.jpg,facemask_constrained,0.050454139709472656,75,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0028_levle1_37_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0028_levle1_37_overlay.jpg
/workspaces/skin-app/data/seg_qc_30/0029_levle1_422.jpg,facemask_constrained,0.01642131805419922,63,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/masks/0029_levle1_422_mask.png,/workspaces/skin-app/data/segmentation/qc_v3_facemask_constrained/overlays/0029_levle1_422_overlay.jpg
